날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017.6.30,2,0.0%,2,0.0%,705,100.0%,"5,640,000",5640000( 100.0%),705,705( 100.0%),"5,640,000",705,18
2017.7.1,3,0.1%,3,0.0%,456,100.0%,"4,560,000",-1080000( -19.1%),456,-249( -35.3%),"10,200,000","1,161",27
2017.7.2,2,0.0%,2,0.0%,932,100.0%,"9,444,000",4884000( 107.1%),932,476( 104.4%),"19,644,000","2,093",22
2017.7.3,3,0.1%,3,0.0%,"1,434",98.3%,"11,280,000",1836000( 19.4%),"1,410",478( 51.3%),"30,924,000","3,503",11
2017.7.4,8,0.2%,8,0.1%,"3,098",100.0%,"27,943,000",16663000( 147.7%),"3,098",1688( 119.7%),"58,867,000","6,601",9
2017.7.5,"1,703",39.6%,"9,117",57.8%,"1,702,485",32.0%,"4,247,758,050",4219815050( 15101.5%),"545,304",542206( 17501.8%),"4,306,625,050","551,905",1
2017.7.6,"1,733",39.0%,"9,170",57.9%,"1,710,240",23.7%,"3,156,783,500",-1090974550( -25.7%),"405,399",-139905( -25.7%),"7,463,408,550","957,304",1
2017.7.7,"1,796",39.6%,"9,533",58.5%,"1,765,989",30.4%,"4,552,872,932",1396089432( 44.2%),"537,526",132127( 32.6%),"12,016,281,482","1,494,830",1
2017.7.8,"1,965",41.1%,"10,679",62.3%,"1,942,894",56.6%,"9,290,735,642",4737862710( 104.1%),"1,098,752",561226( 104.4%),"21,307,017,124","2,593,582",1
2017.7.9,"1,965",41.6%,"10,524",63.0%,"1,914,659",50.7%,"8,168,301,700",-1122433942( -12.1%),"970,771",-127981( -11.6%),"29,475,318,824","3,564,353",1
2017.7.10,"1,761",41.6%,"9,331",60.6%,"1,732,372",14.7%,"1,977,266,100",-6191035600( -75.8%),"254,624",-716147( -73.8%),"31,452,584,924","3,818,977",1
2017.7.11,"1,797",39.9%,"9,249",59.7%,"1,717,988",15.6%,"2,051,712,700",74446600( 3.8%),"267,167",12543( 4.9%),"33,504,297,624","4,086,144",1
2017.7.12,"1,705",38.8%,"8,859",56.8%,"1,655,416",13.0%,"1,644,824,300",-406888400( -19.8%),"215,812",-51355( -19.2%),"35,149,121,924","4,301,956",1
